CustomerID,FName,LName,CNIC,PhoneNumber,Street,City,Province
17000,Omer,Baig,17409-4882455-1,0309-9856748,8221 West Lane ,Attock,Punjab
17001,Muhammad,Arif,71152-7614232-2,0332-8388999,"Centereach, NY 11720",Badin,Sindh
17002,Ishma,Ahmad,16857-6189279-5,0312-8473311,17 Snake Hill Dr. ,Bahawal Nagar,Punjab
17003,Sana,Ali,43123-3411387-4,0334-8092120,"Conway, SC 29526",Bahawalpur,Punjab
17004,Shabbir,Hussain,27793-1986502-8,0333-3456128,908 N. Orange Road ,Chitral,khyber Pakhtun Khwa
17005,Ali,Hajan,60248-6509006-1,0321-4879320,"Middletown, CT 06457",Faisalabad,Punjab
17006,Abdul,Jabbar,38934-4606618-4,0302-2931003,7337 S. Bear Hill Street ,Gilgit,Gilgit Baltistan
17007,Zahid,Akram,96378-8291359-8,0345-3784394,"Decatur, GA 30030",Hyderabad,Sindh
17008,Ghulam,Ansari,40763-6154209-7,0331-3849393,130 Cemetery Ave. ,Islamabad,Punjab
17009,Haider,Naseer,37260-1657541-2,0301-8498398,"Saint Paul, MN 55104",Karachi,Sindh
17010,Muhammad,Kashifullah,14607-1777733-5,0332-8374999,8237 Purple Finch St. ,Kotli,Azad Kashmir
17011,Muhammad,Ahmed,99818-2660380-1,0300-9832841,"Atlantic City, NJ 08401",Mirpur,Azad Kashmir
17012,Fareed, Ghulam,25094-7835120-1,0345-1873899,50 Locust Street ,Multan,Punjab
17013,Salman,Haider,64061-8984143-9,0301-9849390,"Dearborn Heights, MI 48127",Sheikhupura,Punjab
17014,Ayesha,Altaf,88087-7838371-0,0322-9489200,73 North 53rd Lane ,Rawalakot,Azad Kashmir
17015,Sidra,Khalid,73496-5109968-3,0331-8378459,"Ellenwood, GA 30294",Rawalpindi,Punjab
17016,Ahtesham,Zahoor,48499-2553337-4,0333-2983922,65 Oak Meadow Street ,Lahore,Punjab
17017,Ahmed,Rana,38088-0681989-7,0321-3843478,"Fresno, CA 93706",Gujrat,Punjab
17018,Hammad,Hashmi,22828-9078158-6,0303-4989389,8239 Somerset Street ,Kohat,khyber Pakhtun Khwa
17019,Muhammad,Shabbir,12425-8626539-2,0312-7478889,"Frankfort, KY 40601",Larkana,Sindh
17020,Umer,Amin,46182-1197629-5,0333-9999002,80 Park Street ,Mianwali,Punjab
17021,Ali,Avais,20039-1819532-5,0334-9283222,"Shepherdsville, KY 40165",Mardan,khyber Pakhtun Khwa
17022,Waleed,Abbas,25867-7229419-6,0337-4783849,970 South Meadowbrook St. ,Murree,Punjab
17023,Rana,Tariq,98255-4912508-3,0304-8378477,"Rosedale, NY 11422",Muzaffarabad,Azad Kashmir
17024,Zahra,Akhtar,93967-9976935-7,0334-1110006,9124 North Evergreen Ave. ,Nawabshah,Sindh
17025,Mariam,Khalid,66582-5441616-3,0333-4899000,"Uniondale, NY 11553",Okara,Punjab
17026,Ayesha,Naveed,35532-8253618-6,0309-2477588,9148 Silver Spear Drive ,Shikarpur,Sindh
17027,Raja,Altaf,21462-9150364-9,0301-9489302,"Brockton, MA 02301",Sibi,balochistan
17028,Khayyam,Kamal,29344-0596342-8,0308-3829000,53 Court St. ,Nowshera,khyber Pakhtun Khwa
17029,Hurraira,Imran,87581-2574444-4,0330-3289393,"Livingston, NJ 07039",Mirpur,Azad Kashmir
17030,Ibrar,Kardar,29307-7873038-2,0337-9389893,430 Lake View Ave. ,Kalat,balochistan
17031,Saad,Rana,52037-2975343-2,0337-3478939,"Natick, MA 01760",Ghazi khan,Punjab
17032,Javaid,Hashmi,11325-3512226-4,0336-2873287,875 Ashley Drive ,Islamabad,Punjab
17033,Muhammad,Shabbir,70340-0531067-5,0322-2878330,"Canyon Country, CA 91387",Lahore,Punjab
